,Player Name,Team,Position,w,k,sv,era,whip,score
0,Clayton Kershaw,LAD,SP,18,241,0,2.17,0.97,3701
1,Felix Hernandez,SEA,SP,15,222,0,2.62,1.04,3676
2,Chris Sale,CWS,SP,15,221,0,2.79,1.04,3665
3,Max Scherzer,WSH,SP,16,249,0,2.9,1.1,3647
6,Johnny Cueto,CIN,SP,15,184,0,2.9,1.09,3637
4,Madison Bumgarner,SF,SP,15,204,0,3.0,1.1,3622
5,Stephen Strasburg,WSH,SP,15,221,0,3.06,1.1,3618
8,Corey Kluber,CLE,SP,15,218,0,3.06,1.14,3594
9,Adam Wainwright,STL,SP,15,173,0,3.04,1.12,3590
10,Jordan Zimmermann,WSH,SP,14,170,0,3.08,1.11,3581
11,Zack Greinke,LAD,SP,14,185,0,3.02,1.15,3579
15,Matt Harvey,NYM,SP,11,165,0,2.97,1.1,3573
7,David Price,DET,SP,15,214,0,3.25,1.11,3573
14,Masahiro Tanaka,NYY,SP,13,166,0,3.14,1.12,3559
23,Aroldis Chapman,CIN,RP,4,109,37,2.06,0.98,3541
12,Jon Lester,CHC,SP,14,196,0,3.23,1.17,3539
13,Cole Hamels,PHI,SP,12,197,0,3.25,1.17,3516
17,Hisashi Iwakuma,SEA,SP,13,155,0,3.34,1.11,3498
43,Dellin Betances,NYY,RP,4,99,26,2.45,1.04,3485
16,James Shields,SD,SP,13,187,0,3.33,1.18,3484
22,Alex Cobb,TB,SP,11,152,0,3.2,1.18,3466
38,Koji Uehara,BOS,RP,4,74,33,2.36,0.89,3465
18,Julio Teheran,ATL,SP,12,170,0,3.41,1.16,3463
96,Tyler Clippard,OAK,RP,5,73,10,2.73,1.07,3456
52,David Robertson,CWS,RP,4,87,37,2.76,1.11,3455
89,Andrew Miller,NYY,RP,4,85,14,2.6,1.03,3453
28,Hyun-Jin Ryu,LAD,SP,12,139,0,3.24,1.18,3449
105,Wade Davis,KC,RP,5,86,2,2.62,1.12,3444
20,Jacob DeGrom,NYM,SP,11,168,0,3.26,1.2,3444
39,Mark Melancon,PIT,RP,4,68,37,2.34,1.0,3444
99,Bradley Boxberger,TB,RP,4,87,9,2.71,1.09,3438
72,Jake McGee,TB,RP,4,73,22,2.46,1.0,3436
31,Craig Kimbrel,SD,RP,3,94,38,1.99,0.98,3431
58,Joaquin Benoit,SD,RP,4,69,31,2.41,1.01,3431
26,Gerrit Cole,PIT,SP,12,164,0,3.37,1.2,3418
37,Greg Holland,KC,RP,3,88,40,2.12,1.02,3418
107,Tony Watson,PIT,RP,5,67,3,2.63,1.06,3416
27,Alex Wood,ATL,"SP,RP",10,166,0,3.26,1.21,3404
68,Steve Cishek,MIA,RP,4,77,35,2.8,1.16,3399
71,Cody Allen,CLE,RP,4,81,34,2.9,1.16,3399
121,Kenneth Giles,PHI,RP,4,77,3,2.7,1.11,3395
